feature,importance
enmo_std_100s,0.3082456679265776
hour,0.23783497219229235
enmo_max_100s,0.16080393933391485
enmo_mean_100s,0.1460711576969164
anglez_std_100s,0.05932757295177152
enmo,0.029687249506089024
anglez_mean_100s,0.025659424576878986
enmo_diff,0.01857014977843553
anglez_diff,0.013799866037123685
