feature,importance
enmo_std_100s,0.2546069190880793
hour,0.24675735838139226
enmo_max_100s,0.1826460904392864
enmo_mean_100s,0.14304845554765022
anglez_std_100s,0.06308074874069299
enmo,0.03927000715245544
anglez_mean_100s,0.020410594458562258
enmo_diff,0.018122426803643704
anglez_diff,0.01550880584141937
anglez_max_100s,0.008516829926761947
anglez,0.008031763620056103
